STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,DIVIDEND_TOTAL_VALUE_SHARED,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER
REPA3,"ELECTROLUX - ELECTROLUX DO BRASIL SA",,,1.000000,ON,0.000000,0.000000,0.000000,0,0.000000,0.000000,7243000.000000,0.000000,0.000000,0.000000,
RGEG3,"RGE - RIO GRANDE ENERGIA - RIO GRANDE ENERGIA SA","Energia Elétrica","Energia Elétrica",3.000000,ON,3059370000.000000,1019790000.000000,0.000000,0,0.000000,0.000000,227946000.000000,0.000000,0.000000,0.000000,
RHDS3,"M G POLIEST - M G POLIESTER S.A.",Químicos,Petroquímicos,0.110000,ON,882746000.000000,8024960000.000000,0.000000,0,0.000000,0.000000,22080000.000000,0.000000,0.000000,0.000000,
RIPI3,"REFINARIA DE PETRÓLEO IPIRANGA SA - REFINARIA PET IPIRANGA SA","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino e Distribuição",48.010000,ON,1421100000.000000,29600000.000000,0.000000,0,0.000000,0.000000,126495000.000000,0.000000,0.000000,0.000000,
RJCP3,"RJCP EQUITY - RJCP EQUITY S.A.",Financeiros,"Outros Intermediários Financeiros",0.010000,ON,11210700.000000,1121070000.000000,0.000000,0,0.000000,0.000000,-49892.000000,0.000000,0.000000,0.000000,
RLOG3,"COSAN LOG - COSAN LOGISTICA S.A.",Transporte,"Transporte Ferroviário",13.330000,ON,6174780000.000000,463224000.000000,4411810.000000,0,0.061000,0.000000,30125000.000000,0.000000,0.000000,0.000000,
RNEW3,"RENOVA - RENOVA ENERGIA S.A.","Energia Elétrica","Energia Elétrica",7.900000,ON,329588000.000000,41720000.000000,104521.000000,0,0.000000,0.000000,-1425960000.000000,0.000000,0.000000,0.000000,"RR Participações S.A"
RNPT3,"RENNER PARTICIPAÇÕES S/A - RENNER PARTICIPAÇÕES SA",Financeiros,Bancos,31.870000,ON,24731100.000000,776000.000000,0.000000,0,0.000000,0.000000,4299000.000000,0.000000,0.000000,0.000000,
ROMI3,"ROMI - INDS ROMI SA","Máquinas e Equipamentos","Máqs. e Equips. Industriais",8.550000,ON,537436000.000000,62858000.000000,1432500.000000,0,0.022600,46733576.008065,77905000.000000,0.087000,0.599879,0.000000,"André Luis Romi"
RPAD3,"ALFA HOLDINGS - ALFA HOLDINGS SA",Financeiros,Bancos,2.470000,ON,209165000.000000,84682000.000000,345.000000,0,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,"Administradora Fortaleza Ltda"
