"CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"CIEL3";"Cielo SA";"Finanças e Seguros";"";54.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;2320618.0;0.0;0.0;0.0;""
"CIQU3";"Cia Cacique Cafe Soluvel";"Alimentos e Bebidas";"";6.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;14982.0;0.0;0.0;0.0;""
"CLAN3";"Clarion S/A Agroindustrial";"Alimentos e Bebidas";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-18645.0;0.0;0.0;0.0;""
"CLSC3";"Centrais Eletricas de Santa Catarina S/A";"Energia Elétrica";"";37.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-135539.0;0.0;0.0;0.0;""
"CMGR3";"Centrais Eletricas Matogrossenses S/A";"Energia Elétrica";"";7.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-26700.0;0.0;0.0;0.0;""
"CMIG3";"Cia Energ Minas Gerais - Cemig";"Energia Elétrica";"";22.9;"ON";0.0;0.0;0.0;0.0;0.0;0.0;937131.0;0.0;0.0;0.0;""
"CMSA3";"Cims S/A";"Outros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-35.0;0.0;0.0;0.0;""
"CNFB3";"Confab Industrial S/A";"Siderurgia & Metalurgia";"";5.9;"ON";0.0;0.0;0.0;0.0;0.0;0.0;48185.0;0.0;0.0;0.0;""
"COAR3";"Coari Participações S/A";"Outros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-306033.0;0.0;0.0;0.0;""
"COBE3B";"Construtora Beter S/A";"Construção";"";0.55;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-4226.0;0.0;0.0;0.0;""
"COCE3";"Companhia Energetica do Ceara - Coelce";"Energia Elétrica";"";46.9;"ON";0.0;0.0;0.0;0.0;0.0;0.0;75907.0;0.0;0.0;0.0;""
"CORR3";"Correa Ribeiro S/A Com Ind";"Outros";"";12.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-465.0;0.0;0.0;0.0;""
"CPFE3";"CPFL Energia S/A";"Energia Elétrica";"";23.49;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1225923.0;0.0;0.0;0.0;""
"CPLE3";"Cia. Paranaense de Energia - Copel";"Energia Elétrica";"";29.87;"ON";0.0;0.0;0.0;0.0;0.0;0.0;314703.0;0.0;0.0;0.0;""
"CRDE3";"Cr2 Empreendimentos Imobiliarios S/A";"Construção";"";4.55;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-6028.0;0.0;0.0;0.0;""
"CREM3";"Cremer S/A";"Têxtil";"";14.69;"ON";0.0;0.0;0.0;0.0;0.0;0.0;13861.0;0.0;0.0;0.0;""
"CRIV3";"Financeira Alfa S/A - Cfi";"Finanças e Seguros";"";6.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;94365.0;0.0;0.0;0.0;""
"CRUZ3";"Souza Cruz S/A";"Outros";"";29.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1641371.0;0.0;0.0;0.0;""
"CSAB3";"Companhia de Seguros Alianca da Bahia";"Finanças e Seguros";"";30.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;13718.0;0.0;0.0;0.0;""
"CSAN3";"Cosan S/A Industria e Comercio";"Alimentos e Bebidas";"";47.72;"ON";0.0;0.0;0.0;0.0;0.0;0.0;448080.0;0.0;0.0;0.0;""
"CSMG3";"Cia. de Saneamento de Minas Gerais";"Outros";"";43.4;"ON";0.0;0.0;0.0;0.0;0.0;0.0;486928.0;0.0;0.0;0.0;""
"CSNA3";"Companhia Siderurgica Nacional";"Siderurgia & Metalurgia";"";7.05;"ON";0.0;0.0;0.0;0.0;0.0;0.0;169714.0;0.0;0.0;0.0;""
"CSRN3";"Cia Energetica do Rio Grande do Norte";"Energia Elétrica";"";11.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;63291.0;0.0;0.0;0.0;""
"CTAX3";"Contax Participacoes S/A.";"Outros";"";4.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;50303.0;0.0;0.0;0.0;""
"CTIP3";"Cetip S/A Balcão Organizado de Ativos e Derivativos";"Finanças e Seguros";"";25.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;275395.0;0.0;0.0;0.0;""
"CTKA3";"Karsten S.A.";"Têxtil";"";4.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;687.0;0.0;0.0;0.0;""
"CTMI3";"Centennial Asset Particip Minas-Rio S/A";"Mineração";"";2676.98;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-410.0;0.0;0.0;0.0;""
"CTNM3";"Cia Tecidos Norte de Minas - Coteminas";"Têxtil";"";3.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-34337.0;0.0;0.0;0.0;""
"CTPC3";"Marambaia Energia Renovavel S/A";"Alimentos e Bebidas";"";0.2;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-147.0;0.0;0.0;0.0;""
"CTSA3";"Companhia Tecidos Santanense";"Têxtil";"";5.72;"ON";0.0;0.0;0.0;0.0;0.0;0.0;9047.0;0.0;0.0;0.0;""
"CYRE3";"Cyrela Brazil Realty S/A Emprs e Parts";"Construção";"";18.67;"ON";0.0;0.0;0.0;0.0;0.0;0.0;164686.0;0.0;0.0;0.0;""
"CZRS3";"Banco Cruzeiro do Sul S/A";"Finanças e Seguros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-57860.0;0.0;0.0;0.0;""
"DAGB11";"Dufry Ag";"Comércio";"";276.51;"ON";0.0;0.0;0.0;0.0;0.0;0.0;133228.0;0.0;0.0;0.0;""
"DASA3";"Diagnosticos da America S/A";"Outros";"";11.77;"ON";0.0;0.0;0.0;0.0;0.0;0.0;84728.0;0.0;0.0;0.0;""
"DAYC3";"Banco Daycoval S/A";"Finanças e Seguros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;357464.0;0.0;0.0;0.0;""
"DHBI3";"DHB Ind e Comercio S/A";"Veículos e peças";"";50.36;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-16565.0;0.0;0.0;0.0;""
"DIRR3";"Direcional Engenharia S/A";"Construção";"";16.29;"ON";0.0;0.0;0.0;0.0;0.0;0.0;53699.0;0.0;0.0;0.0;""
"DOCA3";"Docas Investimentos S/A";"Outros";"";11.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-10441.0;0.0;0.0;0.0;""
"DOHL3";"Döhler S/A";"Têxtil";"";3.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;5110.0;0.0;0.0;0.0;""
"DROG3";"Drogasil S/A";"Comércio";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;27657.0;0.0;0.0;0.0;""
"DTCY3";"Dtcom - Direct To Company S/A";"Outros";"";0.54;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-277.0;0.0;0.0;0.0;""
"DTEX3";"Duratex S/A";"Outros";"";14.94;"ON";0.0;0.0;0.0;0.0;0.0;0.0;459256.0;0.0;0.0;0.0;""
"DUQE3";"Metalurgica Duque S/A";"Siderurgia & Metalurgia";"";28.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;284.0;0.0;0.0;0.0;""
"DXTG3";"Dixie Toga S/A";"Outros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;19209.0;0.0;0.0;0.0;""
"EALT3";"Electro Aco Altona S/A";"Siderurgia & Metalurgia";"";28.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1818.0;0.0;0.0;0.0;""
"EBTP3";"Embratel Participacoes S/A";"Telecomunicações";"";11.6;"ON";0.0;0.0;0.0;0.0;0.0;0.0;105127.0;0.0;0.0;0.0;""
"ECOD3";"Brasil Ecod Ind Com Biocomb Oleos Vegetais S/A";"Outros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;2526.0;0.0;0.0;0.0;""
"ECOR3";"Ecorodovias Infraestrutura e Logistica S/A";"Transporte e Serviços";"";17.2;"ON";0.0;0.0;0.0;0.0;0.0;0.0;99685.0;0.0;0.0;0.0;""
"ECPR3";"Empresa Nac Com Redito e Part. S/A Encorpar";"Têxtil";"";31.86;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-9691.0;0.0;0.0;0.0;""
"EEEL3B";"Cia Est Geracao e Trans de En El Ceee-Gt";"Energia Elétrica";"";3.48;"ON";0.0;0.0;0.0;0.0;0.0;0.0;64455.0;0.0;0.0;0.0;""
"EKTR3";"Elektro Eletricidade e Servicos S/A";"Energia Elétrica";"";21.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;357677.0;0.0;0.0;0.0;""
"ELEK3";"Elekeiroz S/A";"Química";"";7.2;"ON";0.0;0.0;0.0;0.0;0.0;0.0;459.0;0.0;0.0;0.0;""
"ELET3";"Centrais Eletricas Brasileiras S/A";"Energia Elétrica";"";6.12;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1004773.0;0.0;0.0;0.0;""
"ELPL3";"Eletropaulo Metropolitana Eletricidade de Sao Paulo S/A";"Energia Elétrica";"";10.21;"ON";0.0;0.0;0.0;0.0;0.0;0.0;107946.0;0.0;0.0;0.0;""
"EMAE3";"Emae-Empresa Metropolitana de Aguas e Energia S/A";"Energia Elétrica";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-3129.0;0.0;0.0;0.0;""
"EMBR3";"Embraer - Emp Brasileira Aeronautica S/A";"Veículos e peças";"";19.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;699008.0;0.0;0.0;0.0;""
"ENBR3";"Edp - Energias do Brasil S/A";"Energia Elétrica";"";12.97;"ON";0.0;0.0;0.0;0.0;0.0;0.0;341644.0;0.0;0.0;0.0;""
"ENGI3";"Energisa S/A";"Energia Elétrica";"";2.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;291065.0;0.0;0.0;0.0;""
"ENMA3B";"Companhia Energetica do Maranhao - Cemar";"Energia Elétrica";"";10.1;"ON";0.0;0.0;0.0;0.0;0.0;0.0;90113.0;0.0;0.0;0.0;""
"EQTL3";"Equatorial Energia S/A";"Energia Elétrica";"";20.95;"ON";0.0;0.0;0.0;0.0;0.0;0.0;89477.0;0.0;0.0;0.0;""
"ESTC3";"Estacio Participacoes S/A";"Outros";"";17.42;"ON";0.0;0.0;0.0;0.0;0.0;0.0;39807.0;0.0;0.0;0.0;""
"ESTR3";"Manuf Brinqs Estrela S/A";"Outros";"";12.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;980.0;0.0;0.0;0.0;""
"ETER3";"Eternit S. A.";"Minerais não Metálicos";"";9.9;"ON";0.0;0.0;0.0;0.0;0.0;0.0;27101.0;0.0;0.0;0.0;""
"EUCA3";"Eucatex S/A Ind e Comercio";"Outros";"";7.11;"ON";0.0;0.0;0.0;0.0;0.0;0.0;23920.0;0.0;0.0;0.0;""
"EVEN3";"Even Construtora e Incorporadora S/A";"Construção";"";9.16;"ON";0.0;0.0;0.0;0.0;0.0;0.0;270564.0;0.0;0.0;0.0;""
"EZTC3";"Ez Tec Empreend. e Participacoes S/A";"Construção";"";31.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;94253.0;0.0;0.0;0.0;""
